industry2;gics
Information Technology and Services;Technology/IT
Internet;Technology/IT
Computer & Network Security;Technology/IT
Computer Networking;Technology/IT
Computer Software;Technology/IT
Nanotechnology;Technology/IT
Mobile Games;Technology/IT
Biotechnology;Technology/IT
Investment Banking;Finance
VC & Private Equity;Finance
Banking;Finance
Accounting;Finance
Capital Markets;Finance
Financial Services;Finance
Insurance;Finance
Health, Wellness and Fitness;Healthcare
Pharmaceuticals;Healthcare
Alternative Medicine;Healthcare
Medical Practice;Healthcare
Mental Health Care;Healthcare
Veterinary;Healthcare
Executive Office;Government, NGOs & Legislation
Government Administration;Government, NGOs & Legislation
Government Relations;Government, NGOs & Legislation
International Trade and Development;Government, NGOs & Legislation
Judiciary;Government, NGOs & Legislation
Law Enforcement;Government, NGOs & Legislation
Law Practice;Government, NGOs & Legislation
Legal Services;Government, NGOs & Legislation
Legislative Office;Government, NGOs & Legislation
Public Policy;Government, NGOs & Legislation
Public Safety;Government, NGOs & Legislation
Think Tanks;Government, NGOs & Legislation
Alternative Dispute Resolution;Government, NGOs & Legislation
Civic & Social Organization;Government, NGOs & Legislation
Environmental Services;Government, NGOs & Legislation
Individual & Family Services;Government, NGOs & Legislation
Non-Profit Organization Management;Government, NGOs & Legislation
Philanthropy;Government, NGOs & Legislation
Security and Investigations;Government, NGOs & Legislation
Military;Government, NGOs & Legislation
Translation and Localization;Government, NGOs & Legislation
Defense & Space;Government, NGOs & Legislation
Fund-raising;Government, NGOs & Legislation
Telecommunications;Media/communications services
Broadcast Media;Media/communications services
Entertainment;Media/communications services
Consumer Services;Media/communications services
Motion Pictures and Film;Media/communications services
Online Media;Media/communications services
Media Production;Media/communications services
Writing and Editing;Media/communications services
Newspapers;Media/communications services
Information Services;Media/communications services
Publishing;Media/communications services
Printing;Media/communications services
Staffing and Recruiting;Corporate Services
Human Resources;Corporate Services
Public Relations and Communications;Corporate Services
Events Services;Corporate Services
Facilities Services;Corporate Services
Market Research;Corporate Services
Marketing and Advertising;Corporate Services
Management Consulting;Corporate Services
Outsourcing/Offshoring;Corporate Services
Logistics and Supply Chain;Corporate Services
Education Management;Education
E-Learning;Education
Higher Education;Education
Research;Education
Professional Training & Coaching;Education
Oil & Energy;Energy & materials
Renewables & Environment;Energy & materials
Mining & Metals;Energy & materials
Chemicals;Energy & materials
Plastics;Energy & materials
Glass, Ceramics & Concrete;Energy & materials
Paper & Forest Products;Energy & materials
Packaging and Containers;Energy & materials
Semiconductors;Energy & materials
Utilies;Consumer goods, services and staples
Food & Beverages;Consumer goods, services and staples
Supermarkets;Consumer goods, services and staples
Tobacco;Consumer goods, services and staples
Wine and Spirits;Consumer goods, services and staples
Retail;Consumer goods, services and staples
Food Production;Consumer goods, services and staples
Fishery;Consumer goods, services and staples
Ranching;Consumer goods, services and staples
Farming;Consumer goods, services and staples
Dairy;Consumer goods, services and staples
Luxury Goods & Jewelry;Consumer goods, services and staples
Restaurants;Consumer goods, services and staples
Leisure, Travel & Tourism;Consumer goods, services and staples
Textiles;Consumer goods, services and staples
Apparel & Fashion;Consumer goods, services and staples
Sporting Goods;Consumer goods, services and staples
Consumer Electronics;Consumer goods, services and staples
Sports;Consumer goods, services and staples
Recreational Facilities and Services;Consumer goods, services and staples
Cosmetics;Consumer goods, services and staples
Gambling & Casinos;Consumer goods, services and staples
Furniture;Consumer goods, services and staples
Business Supplies and Equipment;Consumer goods, services and staples
Wholesale;Consumer goods, services and staples
Electrical/Electronic Manufacturing;Industrials and manufacturing
Airlines/Aviation;Industrials and manufacturing
Construction;Industrials and manufacturing
Aviation & Aerospace;Industrials and manufacturing
Mechanical or Industrial Engineering;Industrials and manufacturing
Automotive;Industrials and manufacturing
Industrial Automation;Industrials and manufacturing
Civil Engineering;Industrials and manufacturing
Maritime;Industrials and manufacturing
Package/Freight Delivery;Industrials and manufacturing
Transportation/Trucking/Railroad;Industrials and manufacturing
Railroad Manufacture;Industrials and manufacturing
Machinery;Industrials and manufacturing
Shipbuilding;Industrials and manufacturing
Import and Export;Industrials and manufacturing
Warehousing;Industrials and manufacturing
Computer Hardware;Industrials and manufacturing
Medical Devices;Industrials and manufacturing
Performing Arts;Arts
Fine Art;Arts
Music;Arts
Photography;Arts
Graphic Design;Arts
Arts and Crafts;Arts
Animation;Arts
Program development;Other
Religious Institutions;Other
Libraries;Other
Design;Other
Architecture & Planning;Other
Real Estate;Other
Commercial Real Estate;Other